date,open,high,low,close,volume,turnover rate,PE_TTM,PB_LF,number of advancing stocks,number of declining stocks,market capitalization
2010/12/9,3156,3175.05,3122.2,3123.37,831.59,0.46,15.22,2.33,50,235,199940.78
2010/12/10,3107.38,3172.16,3101.08,3161.98,780.69,0.4,15.37,2.35,254,34,201962.36
2010/12/13,3176.34,3261.34,3173.56,3261.06,1320.88,0.66,15.82,2.42,288,2,207836.1
2010/12/14,3270.2,3279.37,3254.18,3269.47,1149.29,0.58,15.83,2.41,172,105,208032.72
2010/12/15,3270.78,3282.77,3242.52,3247.64,1047.93,0.5,15.73,2.4,88,194,206769.2
2010/12/16,3246.01,3258.39,3224.12,3230.67,792.62,0.39,15.72,2.38,87,202,206525.34
2010/12/17,3229.3,3232.84,3212.58,3225.66,656.97,0.31,15.67,2.37,123,158,205908.18
2010/12/20,3239.02,3249.76,3118,3178.66,1075.22,0.52,15.44,2.34,52,238,202958.11
2010/12/21,3184.7,3251.55,3168.89,3249.51,1124.62,0.55,15.75,2.38,254,37,206946.82
2010/12/22,3253.82,3263.45,3201.67,3215.45,983.09,0.48,15.61,2.36,62,226,205081.39
2010/12/23,3210.67,3237.64,3183.15,3188.61,844.3,0.42,15.52,2.35,55,228,204009.67
2010/12/24,3170.64,3187.72,3139.45,3162.96,729.89,0.38,15.43,2.33,63,215,202786.15
2010/12/27,3176.11,3219.66,3092.26,3099.71,998.55,0.48,15.18,2.29,36,255,199509.54
2010/12/28,3084.82,3095.36,3041.33,3044.93,748.44,0.39,14.95,2.26,26,260,196404.78
2010/12/29,3049.93,3062.56,3025.22,3061.83,601.35,0.31,15.03,2.26,215,63,197525.11
2010/12/30,3063.05,3079.91,3027.9,3064.1,702.84,0.37,15.08,2.27,113,168,198198.4
2010/12/31,3069.05,3129.45,3067.11,3128.26,905.46,0.43,15.34,2.31,281,8,201537.76
2011/1/4,3155.56,3194.36,3143.6,3189.68,1291.6,0.59,15.8,2.42,261,27,210347.85
2011/1/5,3170.18,3193.78,3158.87,3175.66,1169.43,0.55,15.68,2.4,121,162,208957.4
2011/1/6,3177.84,3198.05,3152.57,3159.64,915.68,0.41,15.57,2.38,109,169,207520.83
2011/1/7,3156.36,3209.9,3141.13,3166.62,1136.51,0.58,15.68,2.4,154,132,209051.44
2011/1/10,3162.09,3182.78,3102.43,3108.19,879.93,0.45,15.45,2.37,30,264,206016.85
2011/1/11,3096.25,3131.29,3084.51,3124.92,748.32,0.39,15.55,2.38,166,120,207393.45
2011/1/12,3135.18,3153.43,3099.41,3142.34,715.51,0.4,15.63,2.39,188,91,208464.95
2011/1/13,3153.99,3157.04,3127.16,3141.28,669.26,0.36,15.69,2.4,125,164,209241.71
2011/1/14,3129.67,3129.67,3083.51,3091.86,710.12,0.37,15.51,2.37,41,244,206885.32
2011/1/17,3067.43,3078.88,2968.61,2974.35,854.54,0.46,14.98,2.3,10,282,200478.69
2011/1/18,2965.42,2984.47,2947.6,2977.65,546.52,0.3,14.96,2.3,138,139,200578.65
2011/1/19,2978.46,3045.61,2967.24,3044.85,727.72,0.39,15.22,2.34,288,4,203983.33
2011/1/20,3037.86,3037.86,2944.5,2944.71,764.4,0.42,14.78,2.27,11,278,198116.51
2011/1/21,2935.23,3030.27,2935.14,2983.46,851.58,0.5,14.99,2.3,228,61,200922.65
2011/1/24,2986.09,2999.2,2943.92,2954.23,758.05,0.45,14.9,2.29,78,200,199676.58
2011/1/25,2949.65,2960.59,2919.16,2938.65,575.73,0.34,14.81,2.27,122,159,198720.14
2011/1/26,2939.77,2982.32,2939.36,2978.43,517.46,0.3,14.96,2.3,276,10,200772.09
2011/1/27,2953.59,3037.16,2935.27,3026.47,969.76,0.57,15.19,2.33,249,33,203746.55
2011/1/28,3020.12,3047.27,3011.38,3036.74,782.42,0.43,15.18,2.33,176,102,203667.35
2011/1/31,3035.42,3076.55,3032.45,3076.51,830.7,0.46,15.38,2.36,244,41,206387.09
2011/2/1,3083.49,3087.23,3062.83,3077.28,658.33,0.34,15.4,2.36,130,146,206860.93
